setting,n,model,metric,index,truth,estimate_mean,estimate_sd,bias,abs_bias,rmse,mae,mcse_mean,n_rep,n_obs,n_missing,source_files
heteroskedastic,500,empirical,category_effect,5,0.2572,0.2633809712139477,0.04205191044467402,0.0061809712139477314,0.0061809712139477314,0.04229520002877473,0.034647937356867824,0.004205191044467402,100,100,0,20
heteroskedastic,500,structured_flow,category_effect,5,0.2572,0.07244794758515759,0.15627232573184108,-0.18475205241484244,0.18475205241484244,0.24147494748573595,0.22973219060076794,0.01562723257318411,100,100,0,20
heteroskedastic,500,ordered_logit,category_effect,5,0.2572,0.0670080531084111,0.037820201283395624,-0.19019194689158891,0.19019194689158891,0.19387893287120794,0.19019194689158891,0.0037820201283395626,100,100,0,20
heteroskedastic,500,ordered_probit,category_effect,5,0.2572,0.053778916979995636,0.03490388248097586,-0.20342108302000433,0.20342108302000433,0.20636432642090738,0.20342108302000433,0.003490388248097586,100,100,0,20
heteroskedastic,500,structured_flow,cumulative_ge_effect,2,-0.14665,-0.1530127616286341,0.08751401308303008,-0.006362761628634087,0.006362761628634087,0.0873075036670996,0.07470563600282515,0.008751401308303009,100,100,0,20
heteroskedastic,500,structured_flow,cumulative_ge_effect,3,-0.139,-0.1602475580209033,0.09293020544570921,-0.021247558020903282,0.021247558020903282,0.09487424084118701,0.08715302230265935,0.00929302054457092,100,100,0,20
heteroskedastic,500,structured_flow,cumulative_ge_effect,4,-0.06203,-0.14143768231201967,0.12119989417594045,-0.07940768231201968,0.07940768231201968,0.144388712214436,0.14227245897064247,0.012119989417594044,100,100,0,20
heteroskedastic,500,structured_flow,cumulative_ge_effect,5,0.2572,0.07244794758515759,0.15627232573184108,-0.18475205241484244,0.18475205241484244,0.24147494748573595,0.22973219060076794,0.01562723257318411,100,100,0,20
heteroskedastic,500,structured_flow,latent_beta,0,,-0.36685346812006225,0.7154808631750109,,,,,0.07154808631750109,100,100,0,20
heteroskedastic,500,structured_flow,latent_beta,1,,0.1713910844475928,0.07614356011520915,,,,,0.0076143560115209145,100,100,0,20
heteroskedastic,500,structured_flow,latent_beta,2,,-0.4405224118596576,0.3197397325488505,,,,,0.03197397325488505,100,100,0,20
heteroskedastic,500,structured_flow,latent_beta,3,,0.11746523119159344,0.05344830742923356,,,,,0.005344830742923356,100,100,0,20
heteroskedastic,500,structured_flow,latent_beta,4,,-0.09970534682725903,0.04108971245669261,,,,,0.00410897124566926,100,100,0,20
heteroskedastic,500,structured_flow,wasserstein_unit,1,0.6048799999999999,0.5825542668884135,0.10573129934018957,-0.02232573311158633,0.02232573311158633,0.10754419994836034,0.08596753273566154,0.010573129934018956,100,100,0,20
heteroskedastic,1000,model_free_flow,category_effect,1,0.14665,0.1460817955109114,0.025024041127295695,-0.0005682044890885804,0.0005682044890885804,0.024905089125289253,0.01945649777277849,0.0025024041127295693,100,100,0,20
heteroskedastic,1000,empirical,category_effect,1,0.14665,0.15036993138081753,0.024434441555317158,0.0037199313808175404,0.0037199313808175404,0.024594906063187125,0.01861739984706934,0.002443444155531716,100,100,0,20
heteroskedastic,1000,structured_flow,category_effect,1,0.14665,0.1753532743873803,0.061420242362052596,0.028703274387380313,0.028703274387380313,0.06751740272442647,0.05817098933211187,0.00614202423620526,100,100,0,20
heteroskedastic,1000,ordered_probit,category_effect,1,0.14665,-0.033085013525666084,0.018175460664678462,-0.17973501352566607,0.17973501352566607,0.18064251709866344,0.17973501352566607,0.0018175460664678462,100,100,0,20
heteroskedastic,1000,ordered_logit,category_effect,1,0.14665,-0.039966135106444096,0.018483301957778614,-0.18661613510644412,0.18661613510644412,0.18752012694326015,0.18661613510644412,0.0018483301957778614,100,100,0,20
heteroskedastic,1000,empirical,cumulative_ge_effect,2,-0.14665,-0.15036993138081756,0.024434441555317172,-0.003719931380817556,0.003719931380817556,0.024594906063187146,0.018617399847069355,0.002443444155531717,100,100,0,20
heteroskedastic,1000,empirical,cumulative_ge_effect,3,-0.139,-0.14454767532228055,0.025343752917696423,-0.005547675322280545,0.005547675322280545,0.025819749327116906,0.020262878497566604,0.0025343752917696425,100,100,0,20
heteroskedastic,1000,empirical,cumulative_ge_effect,4,-0.06203,-0.0711373354106424,0.030643645712975738,-0.009107335410642405,0.009107335410642405,0.031821160422563055,0.025984457960674247,0.003064364571297574,100,100,0,20
heteroskedastic,1000,empirical,cumulative_ge_effect,5,0.2572,0.25129234717033416,0.030313433622322288,-0.005907652829665839,0.005907652829665839,0.030734599027009424,0.024028334273272826,0.0030313433622322287,100,100,0,20
heteroskedastic,1000,empirical,wasserstein_unit,1,0.6048799999999999,0.6173472892840749,0.06292728157305481,0.012467289284074923,0.012467289284074923,0.06384103414423664,0.049994389505693786,0.006292728157305481,100,100,0,20
heteroskedastic,1000,empirical,category_effect,2,-0.00765,-0.005822256058536975,0.010830683221142279,0.0018277439414630242,0.0018277439414630242,0.01093029322396798,0.008388679276614781,0.0010830683221142278,100,100,0,20
heteroskedastic,1000,ordered_logit,category_effect,2,-0.00765,-0.0048818464029462124,0.00243079450981886,0.002768153597053787,0.002768153597053787,0.003675914670712267,0.003095631528753469,0.000243079450981886,100,100,0,20
heteroskedastic,1000,ordered_probit,category_effect,2,-0.00765,-0.0034376832860247186,0.0019956655894595742,0.004212316713975281,0.004212316713975281,0.004656873031588795,0.004232849396485095,0.00019956655894595742,100,100,0,20
heteroskedastic,1000,model_free_flow,category_effect,2,-0.00765,0.00011026258435019629,0.009661177590468048,0.007760262584350196,0.007760262584350196,0.012354215648444944,0.010234488747260729,0.0009661177590468047,100,100,0,20
heteroskedastic,1000,structured_flow,category_effect,2,-0.00765,0.00809703163836054,0.004397435082124741,0.01574703163836054,0.01574703163836054,0.01634359404684338,0.015842913273208827,0.0004397435082124741,100,100,0,20
heteroskedastic,1000,model_free_flow,cumulative_ge_effect,2,-0.14665,-0.1460817955109114,0.0250240411272957,0.0005682044890885873,0.0005682044890885873,0.024905089125289256,0.01945649777277849,0.0025024041127295698,100,100,0,20
heteroskedastic,1000,model_free_flow,cumulative_ge_effect,3,-0.139,-0.14619205809526162,0.02490549248890886,-0.00719205809526158,0.00719205809526158,0.025803224996103925,0.020088887890659962,0.002490549248890886,100,100,0,20
heteroskedastic,1000,model_free_flow,cumulative_ge_effect,4,-0.06203,-0.06089165305400804,0.03136474924862639,0.0011383469459919577,0.0011383469459919577,0.031228286124031317,0.024842916983909218,0.003136474924862639,100,100,0,20
heteroskedastic,1000,model_free_flow,cumulative_ge_effect,5,0.2572,0.25239802413264234,0.032198511853123946,-0.004801975867357588,0.004801975867357588,0.0323949949240757,0.025387424937050374,0.0032198511853123945,100,100,0,20
heteroskedastic,1000,model_free_flow,wasserstein_unit,1,0.6048799999999999,0.605787259244045,0.05821173165741155,0.0009072592440450212,0.0009072592440450212,0.057927046919939315,0.04583368425071698,0.005821173165741155,100,100,0,20
heteroskedastic,1000,empirical,category_effect,3,-0.07697,-0.07341033991163808,0.022301134406252556,0.00355966008836192,0.00355966008836192,0.022473058754703616,0.017410294218274985,0.0022301134406252556,100,100,0,20
heteroskedastic,1000,model_free_flow,category_effect,3,-0.07697,-0.08530040504125354,0.024007405615378598,-0.008330405041253531,0.008330405041253531,0.025297976545345296,0.02100660746194551,0.0024007405615378598,100,100,0,20
heteroskedastic,1000,ordered_logit,category_effect,3,-0.07697,-0.01345494953143623,0.006599595306698255,0.06351505046856377,0.06351505046856377,0.06385358836944306,0.06351505046856377,0.0006599595306698255,100,100,0,20
heteroskedastic,1000,ordered_probit,category_effect,3,-0.07697,-0.009268008334506883,0.005250133483189844,0.06770199166549311,0.06770199166549311,0.06790322479860508,0.06770199166549311,0.0005250133483189844,100,100,0,20
heteroskedastic,1000,structured_flow,category_effect,3,-0.07697,-0.008164984708883917,0.020088712631836245,0.06880501529111607,0.06880501529111607,0.07164950063094068,0.06899194692901096,0.0020088712631836244,100,100,0,20
heteroskedastic,1000,ordered_logit,cumulative_ge_effect,2,-0.14665,0.0399661351064441,0.018483301957778617,0.18661613510644412,0.18661613510644412,0.18752012694326015,0.18661613510644412,0.0018483301957778618,100,100,0,20
heteroskedastic,1000,ordered_logit,cumulative_ge_effect,3,-0.139,0.04484798150939037,0.020725516297372223,0.18384798150939038,0.18384798150939038,0.18500089691839838,0.18384798150939038,0.002072551629737222,100,100,0,20
heteroskedastic,1000,ordered_logit,cumulative_ge_effect,4,-0.06203,0.05830293104082664,0.027170487319460306,0.12033293104082662,0.12033293104082662,0.12333234498801005,0.12033293104082662,0.0027170487319460304,100,100,0,20
heteroskedastic,1000,ordered_logit,cumulative_ge_effect,5,0.2572,0.05740475245110555,0.027454107357273615,-0.19979524754889447,0.19979524754889447,0.2016539899773889,0.19979524754889447,0.0027454107357273616,100,100,0,20
heteroskedastic,1000,ordered_logit,latent_beta,0,,0.2843103563978624,0.1341722900114207,,,,,0.01341722900114207,100,100,0,20
heteroskedastic,1000,ordered_logit,latent_beta,1,,0.4334555917757037,0.12703363599384607,,,,,0.012703363599384607,100,100,0,20
heteroskedastic,1000,ordered_logit,latent_beta,2,,-0.4892484624318383,0.06669105808494069,,,,,0.006669105808494069,100,100,0,20
heteroskedastic,1000,ordered_logit,latent_beta,3,,0.26540853379021023,0.060539106403168626,,,,,0.006053910640316863,100,100,0,20
heteroskedastic,1000,ordered_logit,latent_beta,4,,-0.22937468056148508,0.06054191593344159,,,,,0.006054191593344159,100,100,0,20
